,Location,Vehicle_Year,Miles_Driven,Fuel_Type,Transmission,Owner_Type,Seats,Company,Fuel_Consumption(mpg),Engine(CC),Power(bhp),Price
0,Charlotte,10,44741,Ethanol,Automatic,First,5.0,GM,63,998.0,58.16,3500
1,Los_Angeles,5,25477,Gasoline,Automatic,First,5.0,HYUNDAI,46,1582.0,126.2,25000
2,Chicago,9,28584,Diesel,Automatic,First,5.0,HONDA,43,1199.0,88.7,9000
3,Chicago,8,54062,Gasoline,Automatic,First,7.0,GM,49,1248.0,88.76,12000
4,Seattle,7,25272,Gasoline,Continuously_Variable,Second,5.0,AUDI,36,1968.0,140.8,35480
5,San_Francisco,8,46605,Ethanol,Automatic,First,5.0,HYUNDAI,50,814.0,55.2,4700
6,Houston,7,54061,Gasoline,Automatic,First,5.0,NISSAN,54,1461.0,63.1,7000
7,Charlotte,4,22370,Gasoline,Continuously_Variable,First,8.0,TOYOTA,27,2755.0,171.5,35000
8,Los_Angeles,7,40037,Gasoline,Automatic,First,5.0,VOLKSWAGEN,48,1598.0,103.6,10400
9,Chicago,8,40970,Gasoline,Automatic,Second,5.0,CHRYSLER,52,1248.0,74.0,3900
10,Orlando,2,15965,Diesel,Automatic,First,5.0,GM,51,1462.0,103.25,19900
11,Atlanta,8,37284,Diesel,Manual,First,5.0,HONDA,40,1497.0,116.3,8980
12,Houston,5,40033,Gasoline,Automatic,First,5.0,GM,59,1248.0,74.0,11200
13,Dallas,6,44741,Gasoline,Continuously_Variable,First,5.0,RAM,30,2179.0,187.7,54000
14,Los_Angeles,8,52819,Gasoline,Semi-Automatic,Second,5.0,RAM,0,2179.0,115.0,35000
15,Dallas,6,68354,Gasoline,Automatic,First,7.0,MITSUBISHI,32,2477.0,175.56,30000
16,Orlando,4,36632,Gasoline,Automatic,First,5.0,HONDA,61,1498.0,98.6,10800
17,Houston,3,15535,Gasoline,Automatic,First,5.0,GM,67,1248.0,74.0,11980
18,Orlando,6,48139,Gasoline,Automatic,First,5.0,RENAULT,48,1461.0,83.8,12680
19,Boston,6,48780,Gasoline,Manual,First,5.0,MERCEDES-BENZ,35,2143.0,167.62,56000
20,Orlando,6,20495,Gasoline,Dual_Clutch,First,5.0,BMW,53,1995.0,190.0,37100
21,Boston,5,34421,Gasoline,Automatic,Second,5.0,GM,56,1248.0,88.5,16500
22,Charlotte,5,34789,Diesel,Dual_Clutch,First,5.0,AUDI,32,1984.0,177.01,47000
23,Atlanta,10,28464,Diesel,Automatic,First,5.0,HYUNDAI,44,1197.0,80.0,3740
24,Atlanta,10,20506,Diesel,Manual,First,5.0,VOLKSWAGEN,34,1598.0,103.6,5700
25,Charlotte,8,32263,Diesel,Automatic,First,5.0,HONDA,40,1497.0,116.3,8500
26,San_Francisco,8,33556,Gasoline,Automatic,First,5.0,NISSAN,54,1461.0,63.1,8500
27,San_Francisco,7,33556,Diesel,Automatic,Second,5.0,GM,49,998.0,67.1,5500
28,Orlando,2,23259,Diesel,Automatic,First,5.0,HONDA,41,1199.0,88.7,19800
29,Boston,7,38527,Gasoline,Automatic,First,5.0,RENAULT,45,1461.0,108.45,15500
30,Dallas,8,54444,Diesel,Automatic,First,5.0,TOYOTA,34,1798.0,138.1,13500
31,Boston,7,44741,Gasoline,Continuously_Variable,Second,7.0,TESLA,26,2696.0,184.0,25000
32,Atlanta,10,21749,Gasoline,Manual,First,5.0,AUDI,29,2698.0,179.5,23000
33,Seattle,6,34445,Diesel,Automatic,Second,5.0,VOLKSWAGEN,38,1598.0,103.5,13960
34,Houston,11,52083,Diesel,Automatic,Second,5.0,GM,33,1061.0,64.0,3700
35,Orlando,2,31117,Gasoline,Automatic,First,5.0,GM,57,1248.0,88.5,17260
36,Dallas,3,32313,Diesel,Automatic,First,5.0,TESLA,43,1198.0,82.0,9700
37,Los_Angeles,7,52819,Gasoline,Continuously_Variable,First,5.0,MERCEDES-BENZ,28,2987.0,254.8,56000
38,Chicago,7,38527,Gasoline,Automatic,First,5.0,VOLKSWAGEN,52,1199.0,73.9,10000
39,Dallas,12,55926,CNG,Automatic,Second,5.0,GM,46,796.0,46.3,2500
40,Orlando,6,12240,Diesel,Automatic,First,4.0,CHRYSLER,60,624.0,37.5,3060
41,Seattle,3,13691,Gasoline,Automatic,First,6.0,TESLA,60,1198.0,77.0,11160
42,Orlando,6,22052,Diesel,Automatic,First,5.0,HYUNDAI,44,1197.0,82.9,9480
43,Boston,6,28817,Diesel,Dual_Clutch,First,5.0,HYUNDAI,34,1999.0,149.92,17700
