,LoanStatus,Source,ModifiedCreditScore,ModifiedBankruptcyScore,EmploymentStatus,EmployedMonths,TotalMonthlyIncome,PrimeMonthlyLiability,PrimeMonthlyRent,TotalMonthlyDebtBeforeLoan,VehicleYear,VehicleMake,VehicleMileage,isNewVehicle,TotalVehicleValue,AmountRequested,DownPayment,Loanterm,OccupancyStatus,OccupancyDuration,EstimatedMonthlyPayment,NumberOfOpenRevolvingAccounts,LTV,RequestType,DTI,MemberIndicator,CoApplicantIndicator
0,Declined,LENDER,0,336,Employed,42,946.83,0.0,300.0,300.0,4,UNDECIDED,0.0,Y,20902.6956131264,10000.0,0.0,72.0,OTHER,0,210.71,0.0,0.9986677530706455,DEALER PURCHASE,0.31685,N,N
1,Declined,GATEWAY,693,316,Employed,48,6250.0,1484.0,300.0,1784.0,6,DODGE,31953.0,N,19575.0,23249.0,0.0,72.0,RENT,36,322.91,5.0,1.1876,INDIRECT,0.28544,N,N
2,Declined,GATEWAY,559,341,Others,0,7552.0,1969.0,300.0,2269.0,4,TOYOTA,10730.0,N,17400.0,16913.0,500.0,72.0,RENT,24,234.91,11.0,0.972,INDIRECT,0.30045,N,Y
3,Declined,GATEWAY,614,246,Employed,25,6204.33,873.0,1500.0,2374.0,3,CHEVROLET,14.0,Y,38765.0,36570.0,0.0,72.0,RENT,37,507.92,10.0,0.9433,INDIRECT,0.38264,N,Y
4,Approved,LENDER,785,399,Employed,72,9000.0,1130.0,500.0,2130.0,4,UNDECIDED,0.0,Y,20902.6956131264,22000.0,0.0,75.0,RENT,24,325.39,3.0,0.9986677530706455,PRIVATE PARTY,0.23667,Y,Y
5,Declined,GATEWAY,540,107,Employed,80,2983.33,954.0,0.0,954.0,11,OTHERS,56321.0,N,8925.0,11284.0,2000.0,72.0,BUYING,246,156.73,6.0,1.2643,INDIRECT,0.31978,N,N
6,Approved,GATEWAY,676,347,Employed,228,4916.75,869.0,500.0,1369.0,3,NISSAN,43720.0,N,12325.0,9534.0,4000.0,75.0,RENT,156,200.64,3.0,0.7735,INDIRECT,0.27844,N,Y
7,Approved,GATEWAY,819,315,Employed,36,5083.33,1435.0,0.0,1435.0,1,NISSAN,6.0,Y,43505.0,32558.0,877.0,84.0,BUYING,24,438.84,5.0,0.7483,CAR SALE,0.2823,Y,N
8,Declined,CONSUMER,614,160,Employed,10,2470.0,503.0,475.0,978.0,4,UNDECIDED,0.0,Y,25000.0,25000.0,0.0,60.0,RENT,10,519.77,13.0,1.0,DEALER PURCHASE,0.39595,N,N
9,Declined,GATEWAY,486,188,Employed,2,3290.0,4751.29,0.0,4751.29,9,HYUNDAI,27563.0,N,10550.0,11722.0,800.0,72.0,LIVEWITHPARENTS,5,162.81,10.0,1.111,INDIRECT,1.44416,N,Y
10,Approved,LENDER,663,174,Employed,139,8039.64,3190.0,0.0,3190.0,0,UNDECIDED,0.0,Y,20902.6956131264,35000.0,0.0,75.0,BUYING,84,605.98,5.0,0.9986677530706455,DEALER PURCHASE,0.39678,Y,N
11,Declined,CONSUMER,0,290,Employed,17,2600.0,0.0,450.0,450.0,5,VOLKSWAGEN,86000.0,N,6994.0,5694.0,1300.0,24.0,RENT,60,237.25,0.0,0.8141,DEALER PURCHASE,0.17308,N,N
12,Declined,GATEWAY,636,308,Employed,24,4500.0,440.0,350.0,790.0,4,DODGE,26000.0,N,17575.0,17449.0,500.0,72.0,RENT,24,304.82,2.0,0.9928,INDIRECT,0.17556,N,N
13,Approved,LENDER,696,447,Employed,32,2916.67,1101.0,0.0,1101.0,7,NISSAN,56702.0,N,13350.0,16315.65,0.0,72.0,BUYING,29,263.29,3.0,1.2221,REFINANCE-PROMO,0.37749,N,N
14,Declined,GATEWAY,636,182,Retired,300,1613.0,1677.0,0.0,1677.0,8,CHEVROLET,62749.0,N,9725.0,9733.0,1000.0,72.0,BUYING,190,168.75,2.0,1.0008,INDIRECT,1.03968,N,N
15,Approved,GATEWAY,813,468,Employed,7,7000.0,930.0,0.0,930.0,1,BUICK,130.0,Y,29045.0,26554.0,0.0,60.0,OWN,12,335.77,1.0,0.9142,INDIRECT,0.13286,N,N
16,Declined,GATEWAY,616,317,Employed,36,5000.0,552.0,1250.0,1802.0,6,FORD,35028.0,N,29775.0,27423.0,3000.0,72.0,RENT,12,509.96,4.0,0.921,INDIRECT,0.3604,N,N
17,Declined,GATEWAY,542,261,Employed,144,2500.0,336.0,0.0,336.0,2,HYUNDAI,10.0,Y,21360.0,18341.0,2500.0,72.0,BUYING,180,254.74,2.0,0.8586,CAR SALE,0.1344,N,N
18,Declined,GATEWAY,633,197,Retired,60,1916.67,2117.28,550.0,2667.28,2,CHEVROLET,8.0,Y,18600.0,14744.0,0.0,78.0,RENT,19,208.55,8.0,0.7926,INDIRECT,1.39162,N,N
19,Approved,LENDER,726,322,Employed,79,3231.4,1286.0,0.0,1286.0,0,UNDECIDED,0.0,N,20902.6956131264,20000.0,0.0,75.0,BUYING,24,312.27,8.0,0.9986677530706455,DEALER PURCHASE,0.39797,Y,Y
20,Declined,LENDER,0,348,Employed,4,1920.0,25.0,300.0,325.0,0,UNDECIDED,0.0,Y,20902.6956131264,14000.0,0.0,66.0,LIVEWITHPARENTS,36,307.99,1.0,0.9986677530706455,DEALER PURCHASE,0.16927,N,N
21,Declined,GATEWAY,504,350,Employed,12,2560.0,44.0,300.0,344.0,6,HYUNDAI,37144.0,N,13100.0,14240.0,2000.0,72.0,LIVEWITHPARENTS,1,197.78,1.0,1.087,CAR SALE,0.13438,N,N
22,Approved,GATEWAY,726,452,Employed,13,2708.33,0.0,300.0,300.0,1,HYUNDAI,50.0,Y,20105.0,15971.0,2000.0,75.0,RENT,24,246.88,2.0,0.7943,CAR SALE,0.11077,N,N
23,Declined,GATEWAY,0,395,Employed,24,10000.0,85.0,500.0,1085.0,5,VOLKSWAGEN,12405.0,N,17350.0,17540.0,1000.0,72.0,RENT,24,243.62,3.0,1.0109,INDIRECT,0.1085,N,Y
24,Approved,GATEWAY,780,384,Employed,34,14166.67,2776.0,0.0,2776.0,1,NISSAN,6.0,Y,20360.0,18245.0,4800.0,78.0,BUYING,14,278.51,10.0,0.8961,INDIRECT,0.19595,N,N
25,Approved,GATEWAY,679,322,Employed,25,3228.0,104.0,415.0,519.0,2,KIA,12.0,Y,24095.0,26799.0,500.0,84.0,RENT,42,438.79,5.0,1.1122,INDIRECT,0.16078,N,N
26,Declined,GATEWAY,629,278,Employed,53,3000.0,763.0,650.0,2063.0,3,CHEVROLET,37341.0,N,15825.0,15750.0,0.0,72.0,RENT,52,308.64,17.0,0.9952,INDIRECT,0.68767,N,Y
27,Declined,GATEWAY,815,429,Employed,3,10500.0,2429.0,0.0,2429.0,11,TOYOTA,97129.0,N,16050.0,17717.0,2500.0,60.0,BUYING,204,295.29,7.0,1.1038,INDIRECT,0.23133,N,Y
28,Approved,GATEWAY,777,313,Employed,192,8300.0,3622.0,0.0,3622.0,3,FORD,6.0,Y,45035.0,33103.0,0.0,75.0,BUYING,120,496.5,8.0,0.735,INDIRECT,0.43639,N,N
29,Approved,GATEWAY,748,267,Employed,47,14000.0,1800.0,375.0,2550.0,6,OTHERS,24500.0,N,24825.0,18543.0,0.0,72.0,RENT,47,279.5,26.0,0.7469,CAR SALE,0.18214,N,Y
30,Approved,GATEWAY,672,255,Employed,42,4766.67,399.43,325.0,724.43,1,DODGE,24.0,Y,24585.0,34381.0,0.0,75.0,RENT,12,435.98,3.0,1.3984,INDIRECT,0.15198,N,N
31,Declined,GATEWAY,0,280,Employed,24,2300.0,33.0,300.0,333.0,4,TOYOTA,22.0,Y,18659.0,16413.0,1500.0,72.0,LIVEWITHPARENTS,24,322.59,2.0,0.8796,INDIRECT,0.14478,N,N
32,Approved,GATEWAY,835,305,Employed,120,15416.67,3079.0,0.0,3079.0,2,CHEVROLET,9.0,Y,25120.0,21176.0,0.0,84.0,BUYING,132,319.52,6.0,0.8429,INDIRECT,0.19972,Y,Y
33,Declined,GATEWAY,698,400,Employed,60,2200.0,0.0,0.0,0.0,11,CHEVROLET,102260.0,N,6500.0,7939.0,1000.0,66.0,LIVEWITHPARENTS,36,120.29,1.0,1.2213,INDIRECT,0.0,N,N
34,Approved,CONSUMER,671,300,Employed,64,6200.0,1938.0,0.0,1938.0,0,UNDECIDED,0.0,N,15000.0,15000.0,0.0,48.0,BUYING,177,341.47,5.0,1.0,DEALER PURCHASE,0.31258,N,Y
35,Declined,GATEWAY,523,196,Others,26,2400.0,819.0,0.0,819.0,2,MAZDA,15.0,Y,19730.0,17830.0,2000.0,72.0,OTHER,24,247.64,1.0,0.9036,INDIRECT,0.34125,N,N
36,Declined,GATEWAY,615,281,Employed,12,1800.0,115.3,300.0,415.3,3,FORD,50.0,Y,26240.0,29221.0,2000.0,84.0,LIVEWITHPARENTS,60,483.1,1.0,1.1136,INDIRECT,0.23072,N,N
37,Declined,CONSUMER,622,255,Employed,42,8854.0,6081.0,0.0,6081.0,4,JEEP,0.0,Y,52000.0,51000.0,1000.0,75.0,BUYING,87,1044.53,10.0,0.9807,DEALER PURCHASE,0.68681,N,Y
38,Declined,LENDER,593,355,Employed,39,2080.0,112.9,400.0,512.9,0,UNDECIDED,0.0,N,20902.6956131264,10700.0,0.0,66.0,OTHER,11,247.23,1.0,0.9986677530706455,DEALER PURCHASE,0.24659,Y,N
39,Declined,GATEWAY,672,395,Employed,1,2000.0,25.0,300.0,325.0,5,CHEVROLET,35214.0,N,11775.0,8359.0,3000.0,72.0,LIVEWITHPARENTS,8,126.79,1.0,0.7098,INDIRECT,0.1625,N,N
40,Declined,CONSUMER,727,392,Employed,7,4600.0,249.0,1130.0,1379.0,13,CHEVROLET,99000.0,N,23000.0,20000.0,3000.0,82.0,RENT,7,243.91,2.0,0.8695,PRIVATE PARTY,0.29978,N,N
41,Approved,GATEWAY,696,171,Employed,66,8750.0,1907.0,0.0,1907.0,4,FORD,355.0,Y,33540.0,29999.0,0.0,72.0,OWN,39,458.43,4.0,0.8944,INDIRECT,0.21794,N,N
42,Declined,GATEWAY,592,306,Employed,24,2000.0,433.0,350.0,783.0,6,OTHERS,40800.0,N,15700.0,17066.0,0.0,72.0,RENT,72,259.62,1.0,1.087,INDIRECT,0.3915,N,N
43,Declined,GATEWAY,632,265,Employed,6,2916.67,929.81,300.0,1229.81,1,NISSAN,15.0,Y,26955.0,28580.0,0.0,84.0,LIVEWITHPARENTS,60,588.18,2.0,1.0602,INDIRECT,0.42165,N,N
44,Declined,CONSUMER,582,201,Employed,62,2342.0,524.0,350.0,874.0,8,TOYOTA,80000.0,N,7600.0,13000.0,0.0,24.0,RENT,6,642.92,1.0,1.7105,REFINANCE,0.37319,Y,N
45,Declined,GATEWAY,607,240,Employed,36,3810.0,341.0,475.0,816.0,3,DODGE,15.0,Y,28039.0,27437.0,500.0,72.0,RENT,48,381.07,3.0,0.9785,INDIRECT,0.21417,N,N
46,Declined,LENDER,569,248,Retired,25,1400.0,0.0,300.0,300.0,4,HONDA,8500.0,Y,20900.0,15535.0,0.0,66.0,LIVEWITHPARENTS,36,238.51,0.0,0.7433,REFINANCE-PROMO,0.17143,Y,N
47,Approved,GATEWAY,775,371,Employed,66,3333.0,650.0,0.0,650.0,4,NISSAN,33510.0,N,16475.0,12978.0,2250.0,66.0,BUYING,12,202.29,7.0,0.7877,INDIRECT,0.19502,N,N
48,Declined,GATEWAY,569,296,Employed,42,10416.67,390.0,0.0,390.0,5,JEEP,34.0,Y,52190.0,57662.0,0.0,72.0,OWN,42,1258.69,1.0,1.1048,INDIRECT,0.03744,N,N
